itemId,t1,t2,t3,t4
ice_gem,1,710,2400,7100
pure_ice_crystal,1,900,3000,9000
ice_crystal,1,710,2400,7100
pure_ice,50,640,2100,6400
ice_shard,200,630,2100,6300
golden_fruit,1,710,2400,7100
tree_fruit,1,900,3000,9000
golden_leaf,1,620,2100,6200
hard_log,1,560,1900,5600
tea_leaf,100,200,670,2000
soft_log,200,610,2000,6100
mithril_ore,1,710,2400,7100
gold_ore,1,1600,5300,16000
ruby_ore,1,700,2300,7000
sapphire_ore,1,140,470,1400
silver_ore,1,120,400,1200
iron_ore,1,180,600,1800
copper_ore,50,130,430,1300
millennium_leaf,1,710,2400,7100
aroma_herb,1,900,3000,9000
rare_herb,1,620,2100,6200
sage,10,560,1900,5600
lime,30,270,900,2700
lavender,100,200,670,2000
common_herb,150,350,1200,3500
