tableId,bracketMax,cum1,cum2,cum3,cum4,cum5,cum6,cum7
ice,500,3,8,18,15018,60000,,
ice,5000,5,17,37,26037,65000,,
ice,10000,25,90,190,30190,70000,,
ice,150000,45,145,14145,34145,85000,,
ice,500000,65,10065,30065,60065,95000,,
ice,,15000,34000,49000,69000,100000,,
wood,500,3,8,18,38,18038,60000,
wood,5000,5,17,37,58,16058,65000,
wood,10000,25,90,190,17190,41890,70000,
wood,30000,45,145,250,15250,31250,80000,
wood,70000,65,200,15200,29200,41700,90000,
wood,290000,100,19100,34100,49100,64100,95000,
wood,500000,15000,34000,47000,60000,70000,100000,
wood,,15000,34000,47000,60000,70000,100000,
mineral,500,3,18,38,48,58,78,20000
mineral,5000,5,37,57,67,77,97,25000
mineral,10000,25,190,390,490,590,26590,70000
mineral,150000,45,250,500,8000,14500,24500,80000
mineral,500000,65,35065,54065,62065,69065,78065,90000
mineral,,15000,49000,71800,78800,84800,93800,100000
herb,500,3,8,18,2518,8018,28018,60000
herb,5000,5,17,37,6037,16037,36037,65000
herb,10000,25,90,190,10190,30190,51190,70000
herb,150000,45,145,14145,27145,39145,50145,85000
herb,500000,65,10065,25065,39065,51565,62565,95000
herb,,15000,34000,47000,60000,73000,83000,100000
