tableId,tier,itemId
ice,1,ice_gem
ice,2,pure_ice_crystal
ice,3,ice_crystal
ice,4,pure_ice
ice,5,ice_shard
ice_deep,1,ice_gem
ice_deep,2,pure_ice_crystal
ice_deep,3,ice_crystal
ice_deep,4,pure_ice
ice_deep,5,ice_shard
wood,1,golden_fruit
wood,2,tree_fruit
wood,3,golden_leaf
wood,4,hard_log
wood,5,tea_leaf
wood,6,soft_log
wood_deep,1,golden_fruit
wood_deep,2,tree_fruit
wood_deep,3,golden_leaf
wood_deep,4,hard_log
wood_deep,5,tea_leaf
wood_deep,6,soft_log
mineral,1,mithril_ore
mineral,2,gold_ore
mineral,3,ruby_ore
mineral,4,sapphire_ore
mineral,5,silver_ore
mineral,6,iron_ore
mineral,7,copper_ore
mineral_deep,1,mithril_ore
mineral_deep,2,gold_ore
mineral_deep,3,ruby_ore
mineral_deep,4,sapphire_ore
mineral_deep,5,silver_ore
mineral_deep,6,iron_ore
mineral_deep,7,copper_ore
herb,1,millennium_leaf
herb,2,aroma_herb
herb,3,rare_herb
herb,4,sage
herb,5,lime
herb,6,lavender
herb,7,common_herb
herb_deep,1,millennium_leaf
herb_deep,2,aroma_herb
herb_deep,3,rare_herb
herb_deep,4,sage
herb_deep,5,lime
herb_deep,6,lavender
herb_deep,7,common_herb
ice_special,1,hot_ice
ice_special,2,ice_shard
wood_special,1,lightning_heartwood
wood_special,2,soft_log
mineral_special,1,star_iron
mineral_special,2,copper_ore
herb_special,1,frost_bloom
herb_special,2,common_herb
