id,metricKind,metricArg,threshold,name,announce,effectKind,effectArg
every_1000,every,ice_1000|wood_1000|mineral_1000|herb_1000,4,고르게 익숙해지다,네 가지를 고르게 익혔다,title,
ice_1000,skill,ice,1000,얼음에 익숙해지다,얼음을 다루는 손이 익숙해졌다,title,
wood_1000,skill,wood,1000,나무에 익숙해지다,나무를 다루는 손이 익숙해졌다,title,
mineral_1000,skill,mineral,1000,광물에 익숙해지다,광물을 다루는 손이 익숙해졌다,title,
herb_1000,skill,herb,1000,약초에 익숙해지다,약초를 다루는 손이 익숙해졌다,title,
crafting_200,skill,crafting,200,구리 망치를 만들 수 있다,구리 망치를 만들 수 있게 됐다,recipes,copper_hammer
crafting_500,skill,crafting,500,철 도구를 만들 수 있다,철 도구를 만들 수 있게 됐다,recipes,iron_chisel|iron_axe|iron_pickaxe|iron_sickle
every_10000,every,ice_10000|wood_10000|mineral_10000|herb_10000,4,고르게 손에 익다,네 가지가 모두 손에 익었다,title,
ice_10000,skill,ice,10000,얼음이 손에 익다,얼음이 손에 익었다 — 누르고 있으면 계속된다,repeat,ice
wood_10000,skill,wood,10000,나무가 손에 익다,나무가 손에 익었다 — 누르고 있으면 계속된다,repeat,wood
mineral_10000,skill,mineral,10000,광물이 손에 익다,광물이 손에 익었다 — 누르고 있으면 계속된다,repeat,mineral
herb_10000,skill,herb,10000,약초가 손에 익다,약초가 손에 익었다 — 누르고 있으면 계속된다,repeat,herb
crafting_10000,skill,crafting,10000,조합이 손에 익다,조합이 손에 익었다 — 누르고 있으면 계속된다,repeat,crafting
ice_50000,skill,ice,50000,얼음을 오래 다루다,,title,
wood_50000,skill,wood,50000,나무를 오래 다루다,,title,
mineral_50000,skill,mineral,50000,광물을 오래 다루다,,title,
herb_50000,skill,herb,50000,약초를 오래 다루다,,title,
every_200000,every,ice_200000|wood_200000|mineral_200000|herb_200000,4,고르게 장인이 되다,네 가지 모두에서 장인이 됐다,title,
ice_200000,skill,ice,200000,얼음의 장인,,title,
wood_200000,skill,wood,200000,나무의 장인,,title,
mineral_200000,skill,mineral,200000,광물의 장인,,title,
herb_200000,skill,herb,200000,약초의 장인,,title,
crafting_100000,skill,crafting,100000,조합의 장인,,title,
ice_1000000,skill,ice,1000000,얼음의 극한,더 빨라질 수 없는 곳에 닿았다,title,
wood_1000000,skill,wood,1000000,나무의 극한,더 빨라질 수 없는 곳에 닿았다,title,
mineral_1000000,skill,mineral,1000000,광물의 극한,더 빨라질 수 없는 곳에 닿았다,title,
herb_1000000,skill,herb,1000000,약초의 극한,더 빨라질 수 없는 곳에 닿았다,title,
