shopId,itemId,unlockSkill,unlockCollection
얼음상점,ice_speed_token,10000,
얼음상점,ice_sight_token,25000,
나무상점,wood_speed_token,10000,
나무상점,wood_sight_token,25000,
광물상점,mineral_speed_token,10000,
광물상점,mineral_sight_token,25000,
허브상점,herb_speed_token,10000,
허브상점,herb_sight_token,25000,
얼음상점,pure_ice,,30
얼음상점,ice_shard,,30
나무상점,hard_log,,30
나무상점,tea_leaf,,30
나무상점,soft_log,,30
광물상점,sapphire_ore,,30
광물상점,silver_ore,,30
광물상점,iron_ore,,30
광물상점,copper_ore,,30
허브상점,sage,,30
허브상점,lime,,30
허브상점,lavender,,30
허브상점,common_herb,,30
얼음상점,ice_gem,,60
얼음상점,pure_ice_crystal,,60
얼음상점,ice_crystal,,60
나무상점,golden_fruit,,60
나무상점,tree_fruit,,60
나무상점,golden_leaf,,60
광물상점,mithril_ore,,60
광물상점,gold_ore,,60
광물상점,ruby_ore,,60
허브상점,millennium_leaf,,60
허브상점,aroma_herb,,60
허브상점,rare_herb,,60
