fromMap,fromX,fromY,toMap,toX,toY,facing
월드맵,14,9,눈의마을,15,29,up
눈의마을,15,30,월드맵,14,10,down
월드맵,64,9,북동쪽마을,37,18,up
북동쪽마을,37,19,월드맵,64,10,down
월드맵,14,58,숲의마을,20,1,down
숲의마을,20,0,월드맵,14,57,up
월드맵,46,64,항구마을,30,1,down
항구마을,30,0,월드맵,46,63,up
눈의마을,15,0,얼음채집장,15,24,up
얼음채집장,15,25,눈의마을,15,1,down
숲의마을,20,49,나무수렵장,16,1,down
나무수렵장,16,0,숲의마을,20,48,up
북동쪽마을,74,10,광물채굴장,1,13,right
광물채굴장,0,13,북동쪽마을,73,10,left
항구마을,59,13,허브채집장,1,11,right
허브채집장,0,11,항구마을,58,13,left
눈의마을,0,15,개발맵,28,16,left
개발맵,29,16,눈의마을,1,15,right
얼음채집장,5,4,얼음채집장,5,2,up
얼음채집장,5,2,얼음채집장,5,4,down
나무수렵장,9,11,나무수렵장,7,11,left
나무수렵장,7,11,나무수렵장,9,11,right
광물채굴장,22,22,광물채굴장,22,20,up
광물채굴장,22,20,광물채굴장,22,22,down
허브채집장,29,16,허브채집장,29,14,up
허브채집장,29,14,허브채집장,29,16,down
